date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:12	36116/36116	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:13%20GMT	https://m.latindream.com/ficha/index/3908?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3908572f.html	(from https://m.latindream.com/)
20:59:12	20617/20617	---M--	200	added ('OK')	image/jpeg	etag:%2250d5-5911ae1e-12a12700%22	https://planetaescort.cl/img/portadas/seccion/3901-4000/3908/activa/portada-3908-1339160499.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3901-4000/3908/activa/portada-3908-1339160499.jpg	(from https://m.latindream.com/)
20:59:12	32517/32517	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:13%20GMT	https://m.latindream.com/ficha/index/3673?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3673572f.html	(from https://m.latindream.com/)
20:59:12	19622/19622	---M--	200	added ('OK')	image/jpeg	etag:%224cdd-5919eda3-68f1a7d%22	https://planetaescort.cl/img/portadas/seccion/3601-3700/3673/activa/portada-3673-1427070535.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3601-3700/3673/activa/portada-3673-1427070535.jpg	(from https://m.latindream.com/)
20:59:13	28112/28112	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:14%20GMT	https://m.latindream.com/ficha/index/3672?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3672572f.html	(from https://m.latindream.com/)
20:59:13	19873/19873	---M--	200	added ('OK')	image/jpeg	etag:%224da1-5919e06e-4a28e19%22	https://planetaescort.cl/img/portadas/seccion/3601-3700/3672/activa/portada-3672-1372518260.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3601-3700/3672/activa/portada-3672-1372518260.jpg	(from https://m.latindream.com/)
20:59:13	36094/36094	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:14%20GMT	https://m.latindream.com/ficha/index/3291?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3291572f.html	(from https://m.latindream.com/)
20:59:14	19605/19605	---M--	200	added ('OK')	image/jpeg	etag:%224c95-58ca9a44-c9f82c0%22	https://planetaescort.cl/img/portadas/seccion/3201-3300/3291/activa/portada-3291-1920577519.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3201-3300/3291/activa/portada-3291-1920577519.jpg	(from https://m.latindream.com/)
20:59:14	21161/21161	---M--	200	added ('OK')	image/jpeg	etag:%2252a9-5919f881-321bb04%22	https://planetaescort.cl/img/portadas/seccion/601-700/699/activa/portada-699-997465235.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/601-700/699/activa/portada-699-997465235.jpg	(from https://m.latindream.com/)
20:59:14	45972/45972	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:15%20GMT	https://m.latindream.com/ficha/index/699?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/699572f.html	(from https://m.latindream.com/)
20:59:14	31747/31747	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:15%20GMT	https://m.latindream.com/ficha/index/4112?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/4112572f.html	(from https://m.latindream.com/)
20:59:14	20647/20647	---M--	200	added ('OK')	image/jpeg	etag:%2250a7-5919de5c-4a28e18%22	https://planetaescort.cl/img/portadas/seccion/4101-4200/4112/activa/portada-4112-1717050199.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/4101-4200/4112/activa/portada-4112-1717050199.jpg	(from https://m.latindream.com/)
20:59:15	17320/17320	---M--	200	added ('OK')	image/jpeg	etag:%2243a8-5916429d-a27258d%22	https://planetaescort.cl/img/portadas/seccion/3801-3900/3843/activa/portada-3843-2071370333.jpg	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/latindream.com/img/portadas/seccion/3801-3900/3843/activa/portada-3843-2071370333.jpg	(from https://m.latindream.com/)
20:59:15	48566/48566	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:16%20GMT	https://m.latindream.com/ficha/index/3843?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/3843572f.html	(from https://m.latindream.com/)
20:59:15	46548/46548	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20May%202017%2000:59:16%20GMT	https://m.latindream.com/ficha/index/1977?origen=1	C:/Users/Ramon/Documents/proyectos/putitas%20mobile/m.latindream.com/ficha/index/1977572f.html	(from https://m.latindream.com/)
